Time,ax,ay,az,gx,gy,gz,mx,my,mz
37.07788395881653,-0.73,-0.56,0.39,0.12,0.98,-1.71,38.71,35.11,6.6
37.130435943603516,-0.72,-0.56,0.41,0.06,0.79,-1.65,39.61,34.81,8.1
37.18233799934387,-0.72,-0.56,0.41,0.06,0.0,-1.4,39.16,34.51,6.0
37.234158992767334,-0.72,-0.56,0.41,-0.06,-1.22,-1.22,40.36,33.76,7.05
37.286144971847534,-0.73,-0.56,0.4,-0.06,-0.73,-1.46,40.36,33.46,7.05
37.338204860687256,-0.72,-0.56,0.4,-0.06,-0.37,-1.46,39.46,35.41,6.6
37.39006686210632,-0.72,-0.56,0.39,-0.06,-0.37,-1.46,38.86,33.76,7.05
37.442049980163574,-0.72,-0.56,0.4,-0.06,-0.24,-1.52,39.91,35.26,7.8
37.49395298957825,-0.72,-0.55,0.39,-0.06,-0.37,-1.34,40.36,33.46,6.75
37.54588294029236,-0.72,-0.55,0.4,-0.06,-0.3,-1.34,39.01,35.41,7.65
37.59841299057007,-0.72,-0.56,0.4,-0.06,-0.3,-1.22,40.06,33.91,7.2
37.65029692649841,-0.71,-0.56,0.39,0.0,0.0,-1.4,40.36,35.56,6.45
37.70216703414917,-0.73,-0.56,0.39,0.0,-0.3,-1.4,38.71,34.66,5.85
37.754425048828125,-0.72,-0.55,0.38,0.0,0.0,-1.46,40.96,34.51,6.45
37.806570053100586,-0.71,-0.55,0.41,0.0,0.24,-1.46,40.06,34.66,8.7
37.858691930770874,-0.72,-0.56,0.4,0.0,0.43,-1.4,38.86,34.81,7.05
37.91249108314514,-0.73,-0.56,0.41,0.06,0.43,-1.28,40.51,33.91,6.9
37.96569085121155,-0.72,-0.55,0.39,-0.06,0.18,-1.22,39.46,33.91,6.6
38.017910957336426,-0.72,-0.56,0.39,0.0,0.24,-1.04,39.91,35.26,6.45
38.0702018737793,-0.71,-0.56,0.4,0.0,0.18,-0.91,39.46,35.41,4.8
38.12267994880676,-0.73,-0.56,0.39,-0.12,-0.43,-0.79,39.76,35.11,6.6
38.17496395111084,-0.72,-0.56,0.39,-0.18,-0.67,-0.85,37.96,34.36,5.1
38.226924896240234,-0.72,-0.56,0.39,-0.06,-0.91,-0.98,40.81,35.11,6.6
38.27892804145813,-0.72,-0.56,0.39,-0.12,-1.22,-1.04,40.06,34.66,7.95
38.33170986175537,-0.72,-0.56,0.41,-0.06,-1.16,-1.22,37.36,34.21,6.75
38.383641958236694,-0.72,-0.56,0.4,-0.06,-1.71,-1.04,40.51,34.36,6.15
38.43570685386658,-0.72,-0.56,0.39,-0.12,-2.07,-0.85,38.56,34.81,6.0
38.48788094520569,-0.72,-0.56,0.39,-0.06,-1.71,-1.04,40.36,34.81,6.45
38.54043102264404,-0.73,-0.56,0.41,-0.06,-1.46,-1.04,38.71,35.41,7.2
38.59237790107727,-0.71,-0.55,0.4,-0.18,-0.91,-1.04,39.76,33.61,6.6
38.64489197731018,-0.73,-0.56,0.4,-0.12,-0.3,-1.22,40.51,34.66,6.9
38.696901082992554,-0.71,-0.56,0.39,0.0,0.37,-1.16,39.16,34.51,4.95
38.749027967453,-0.72,-0.56,0.42,0.0,0.67,-1.28,39.16,35.56,7.05
38.80081486701965,-0.71,-0.56,0.4,0.06,0.79,-1.34,41.26,34.66,7.2
38.85264992713928,-0.72,-0.55,0.4,0.06,0.73,-1.4,40.66,33.76,5.7
38.90537190437317,-0.72,-0.55,0.4,-0.06,0.18,-1.34,40.06,32.86,6.15
38.957682847976685,-0.72,-0.57,0.4,-0.06,-0.43,-1.28,38.11,35.26,7.05
39.0102379322052,-0.73,-0.56,0.4,-0.06,-0.67,-1.22,37.96,34.36,6.6
39.06227207183838,-0.71,-0.56,0.41,-0.06,-0.61,-1.4,38.56,35.56,7.05
39.11420488357544,-0.72,-0.56,0.4,0.06,-0.3,-1.4,39.91,36.01,6.75
39.16673994064331,-0.73,-0.56,0.41,-0.06,-0.12,-1.34,38.86,34.51,5.4
39.219061851501465,-0.72,-0.56,0.4,0.0,0.18,-1.16,40.06,34.36,6.9
